,FILEDATE,DISPDATE,sex,race,age,is_citizen,educ,crime,crim_hist,counsel,judge
529048,02/27/2002,04/22/2002,0.0,2.0,"(15, 30]",1.0,1.0,10.0,"(-1, 0]",0,Callie V. Granade
529049,02/27/2002,04/23/2002,0.0,2.0,"(15, 30]",1.0,1.0,19.0,"(5, 6]",0,Callie V. Granade
529050,03/28/2002,12/02/2002,0.0,2.0,"(30, 50]",1.0,3.0,31.0,"(14, 15]",0,Callie V. Granade
529051,03/28/2002,05/22/2002,0.0,3.0,"(15, 30]",1.0,5.0,23.0,"(2, 3]",1,Callie V. Granade
529052,03/28/2002,05/24/2002,0.0,2.0,"(15, 30]",1.0,1.0,25.0,"(5, 6]",1,Callie V. Granade
529053,03/28/2002,09/17/2002,0.0,2.0,"(15, 30]",1.0,3.0,25.0,"(0, 1]",0,Callie V. Granade
529054,03/28/2002,06/28/2002,1.0,1.0,"(30, 50]",1.0,5.0,10.0,"(-1, 0]",0,Callie V. Granade
529055,03/28/2002,06/28/2002,0.0,1.0,"(30, 50]",1.0,1.0,10.0,"(-1, 0]",0,Callie V. Granade
529056,03/28/2002,05/29/2002,0.0,1.0,"(30, 50]",1.0,3.0,21.0,"(14, 15]",0,Callie V. Granade
529057,03/28/2002,08/02/2002,0.0,2.0,"(30, 50]",1.0,5.0,19.0,"(5, 6]",0,Callie V. Granade
529058,04/25/2002,06/10/2002,1.0,3.0,"(30, 50]",1.0,3.0,10.0,"(-1, 0]",0,Callie V. Granade
529059,04/25/2002,07/08/2002,0.0,2.0,"(30, 50]",1.0,5.0,14.0,"(8, 9]",0,Callie V. Granade
529060,04/25/2002,07/23/2002,0.0,1.0,"(15, 30]",1.0,5.0,15.0,"(5, 6]",0,Callie V. Granade
529062,04/25/2002,07/26/2002,0.0,2.0,"(15, 30]",1.0,3.0,21.0,"(-1, 0]",0,Callie V. Granade
529063,04/25/2002,07/22/2002,0.0,3.0,"(15, 30]",3.0,3.0,34.0,"(-1, 0]",2,Callie V. Granade
529064,04/25/2002,12/17/2002,0.0,1.0,"(30, 50]",1.0,3.0,43.0,"(-1, 0]",0,Callie V. Granade
529065,04/25/2002,06/27/2002,1.0,1.0,"(30, 50]",1.0,3.0,10.0,"(0, 1]",0,Callie V. Granade
